id,name,Id_input
4847,Job posting card,2139477
61330,Icon menu sidebar,2139477
2727,Navigation header,2727
2288631,Top bar 2,2727
2725,Edit profile,2727
2726,Header with search box,2727
2728,Simple menu sidebar,2727
2139535,Inline message 1,473604
319588,Notification card,473604
473604,Inline message 1,473604
473609,Inline message 2,473604
473633,Loading bar,473604
2139535,Inline message 1,474095
473609,Inline message 2,474095
474089,Toast message 1,474095
474095,Toast message 2,474095
2288684,Toast message,474095
2098714,Sign in 2,319395
2722,Sign up 1,319395
319395,Sign in 1,319395
2098731,Sign up 2,319395
2139479,Media popup 1,319395
319468,Footer with newsletter,319501
319501,Generic footer,319501
2098602,Breadcrumb,319501
2098779,Stepper 2,319501
2288551,Link sharing,319501
2098801,Sticky banner,473609
2139511,Floating banner,473609
2139535,Inline message 1,473609
473604,Inline message 1,473609
473609,Inline message 2,473609
473609,Inline message 2,474095
2139535,Inline message 1,474095
2288684,Toast message,474095
319537,Action confirmation 1,474095
473640,Loading spinner,474095
2098709,Scroll bar,2098709
2098766,Stepper 1,2098709
319468,Footer with newsletter,2098709
474069,Tabs with badges,2098709
4824,Social invitation card,2098709
4802,Contact card,4802
2098594,Action confirmation 4,4802
2098636,Floating banner,4802
2098704,Progress bar,4802
2139479,Media popup 1,4802
2098714,Sign in 2,319595
2139480,Top bar 1,319595
2288601,Project sharing,319595
2722,Sign up 1,319595
2726,Header with search box,319595
2288653,Action confirmation 1,473525
473525,Action confirmation 2,473525
2098594,Action confirmation 4,473525
2288387,Multiple actions confirmation,473525
319537,Action confirmation 1,473525
4849,Kanban card,4849
2098611,Bubble message,4849
2098779,Stepper 2,4849
2288629,Social invitation card,4849
319588,Notification card,4849
2288531,Horizontal media card,4788
4788,Horizontal media card,4788
2288575,Message card,4788
2288641,Vertical media card,4788
319415,Generic card (compact),4788
2288531,Horizontal media card,4788
4788,Horizontal media card,4788
2098818,Welcome modal 2,4788
2288641,Vertical media card,4788
319546,Feature guideline,4788
319468,Footer with newsletter,319501
319501,Generic footer,319501
2098602,Breadcrumb,319501
2288551,Link sharing,319501
2288601,Project sharing,319501
2098810,Welcome modal 1,319415
2098818,Welcome modal 2,319415
2139477,iOS keyboard,319415
2193809,Android keyboard,319415
2288450,Snackbar,319415
2726,Header with search box,48666
48666,Secondary header,48666
2098629,Empty state,48666
2288601,Project sharing,48666
2288631,Top bar 2,48666
319537,Action confirmation 1,319640
319640,File upload,319640
473596,Create new item,319640
2098594,Action confirmation 4,319640
2098629,Empty state,319640
319449,Pricing card,473664
473664,Number input 1,473664
473671,Number input 2,473664
473678,Number input 3,473664
4849,Kanban card,473664
2098806,Search box and button,2139479
2098810,Welcome modal 1,2139479
2098818,Welcome modal 2,2139479
2139478,Media popup 2,2139479
2139479,Media popup 1,2139479
2098693,Image gallery 2,2098693
2139477,iOS keyboard,2098693
2193809,Android keyboard,2098693
61330,Icon menu sidebar,2098693
2098642,Image gallery 1,2098693
473722,Page heading 1,473722
2098642,Image gallery 1,473722
2286525,Navigation drawer 2,473722
2288450,Snackbar,473722
2288601,Project sharing,473722
2139478,Media popup 2,2139478
2098594,Action confirmation 4,2139478
2098810,Welcome modal 1,2139478
2098818,Welcome modal 2,2139478
2139479,Media popup 1,2139478
2723,Settings,2723
473532,Button group,2723
2139478,Media popup 2,2723
2288450,Snackbar,2723
2724,Generic form,2723
2098704,Progress bar,473633
2139535,Inline message 1,473633
473633,Loading bar,473633
473640,Loading spinner,473633
4835,Applicant profile card,473633
2286525,Navigation drawer 2,2286525
2288403,Basic bottom sheet,2286525
2727,Navigation header,2286525
2728,Simple menu sidebar,2286525
2729,Multi-level menu sidebar,2286525
2098801,Sticky banner,2139480
2098810,Welcome modal 1,2139480
2098818,Welcome modal 2,2139480
2139480,Top bar 1,2139480
2139511,Floating banner,2139480
2098810,Welcome modal 1,61330
2288641,Vertical media card,61330
4817,Social card,61330
4847,Job posting card,61330
61330,Icon menu sidebar,61330
2098801,Sticky banner,473609
2139511,Floating banner,473609
2139535,Inline message 1,473609
473604,Inline message 1,473609
473609,Inline message 2,473609
473736,Page heading 2,473736
2098810,Welcome modal 1,473736
2098818,Welcome modal 2,473736
2139478,Media popup 2,473736
2139480,Top bar 1,473736
319449,Pricing card,319449
319415,Generic card (compact),319449
2098602,Breadcrumb,319449
2098629,Empty state,319449
2139535,Inline message 1,319449
2286525,Navigation drawer 2,2728
2288403,Basic bottom sheet,2728
2727,Navigation header,2728
2728,Simple menu sidebar,2728
2729,Multi-level menu sidebar,2728
319570,Link sharing,319570
2288551,Link sharing,319570
2098629,Empty state,319570
2139479,Media popup 1,319570
473736,Page heading 2,319570
2286525,Navigation drawer 2,473796
2288403,Basic bottom sheet,473796
473572,Combo box,473796
473614,Item dropdown,473796
473796,Simple dropdown,473796
2098806,Search box and button,2288631
2288631,Top bar 2,2288631
2726,Header with search box,2288631
2727,Navigation header,2288631
48666,Secondary header,2288631
2098810,Welcome modal 1,2098810
2098818,Welcome modal 2,2098810
2139478,Media popup 2,2098810
2139479,Media popup 1,2098810
319537,Action confirmation 1,2098810
2288631,Top bar 2,61330
2728,Simple menu sidebar,61330
2729,Multi-level menu sidebar,61330
61330,Icon menu sidebar,61330
61331,Collapsed menu sidebar,61330
4851,Dashboard card,4851
2098806,Search box and button,4851
2268033,Tab bar 2,4851
2288531,Horizontal media card,4851
2288575,Message card,4851
2139488,Tabs in pills,2288669
2288653,Action confirmation 1,2288669
2288669,Segment,2288669
2098629,Empty state,2288669
2098636,Floating banner,2288669
4788,Horizontal media card,4788
2098629,Empty state,4788
2139535,Inline message 1,4788
2288531,Horizontal media card,4788
2288641,Vertical media card,4788
2139478,Media popup 2,2268033
2268033,Tab bar 2,2268033
2725,Edit profile,2268033
